从《唐律疏义》看唐代封爵贵族的法律特权	从《唐律疏义》看唐代封爵贵族的法律特权《唐律疏义》,封爵贵族,法律特权
宁夏社区图书馆服务体系布局现状分析	宁夏社区图书馆服务体系布局现状分析社区图书馆,社区图书馆服务,社区图书馆服务体系
人口老龄化对京津冀经济	京津冀人口老龄化对区域经济增长的影响京津冀,人口老龄化,区域经济增长,固定效应模型
英语广告中的模糊语	模糊语在英语广告中的应用及其功能模糊语,英语广告,表现形式,语用功能
甘氨酸二肽的合成	甘氨酸二肽合成中缩合剂的选择甘氨酸,缩合剂,二肽
玉米农田生态系统水碳通量日变化特征研究	玉米农田生态系统水碳通量日变化特征研究玉米农田,水汽通量,CO2通量,冠层导度,日变化
江苏省跨境电商物流存在的问题及对策	浅析跨境电商物流对苏州外贸的影响跨境电商,物流模式,苏州,外贸
外贸机械行业调研报告	实现工程机械在两个市场的突破工程机械产业发展与出口竞争力调研报告
煤矿企业财务会计与管理会计的融合发展分析	煤矿企业财务会计与管理会计的融合发展分析煤矿企业,财务会计,管理会计
玉屏风散加减治疗过敏性鼻炎62例 孙喜京	玉屏风散加减治疗过敏性鼻炎62例
幼儿视力低下的原因及对策分析	幼儿视力低下的原因及对策分析幼儿,视力低下,原因,对策
血栓弹力图预测静脉血栓栓塞症 发生的 价 值 分 析	血栓弹力图对老年心脏手术患者术后静脉血栓栓塞症的预测价值分析静脉血栓栓塞,血栓弹力图,心脏手术,老年,治疗
基于高频地波雷达观测的粤西近海潮流潮能分析	基于高频地波雷达观测的粤西近海潮流潮能分析粤西,高频地波雷达,潮流,潮能耗散
井冈山精神三大纪律	“三大纪律八项注意”诞生发展源流考述“三大纪律八项注意”,井冈山时期,中国人民解放军总部训令
丹麦养老服务中的闪光点	丹麦养老服务中的闪光点
旋股外侧动脉横支	以旋股外侧动脉不同分支来源的穿支为蒂的螺旋桨皮瓣手术设计和临床应用旋股外侧动脉,缺损,修复,穿支螺旋桨皮瓣
基于物联网技术的高校大型仪器设备管理平台设计与实现	基于物联网基础下的大型仪器共享平台管理模式物联网,大型仪器,共享平台,模式设计,高效管理
腹腔镜时代的诞生	对话刘荣:精准医疗时代的机器人手术
产后并发症 尿失禁	产后尿失禁的治疗进展产后并发症,产后尿失禁,中医治疗,治疗进展
题名：中国居民膳食钙摄入量普遍低下	中国居民膳食钙摄入量普遍低下
长链非编码RNA在皮肤中的研究进展	长链非编码RNA在皮肤癌中的研究进展长链非编码RNA,皮肤癌,皮肤黑素瘤,非黑素瘤皮肤癌
吉利收购沃尔沃区位	\一带一路\背景下我国企业海外投资的产业(或区位)选择策略研究——以吉利收购沃尔沃为例
微细阵列群电极电解加工关键技术研究	微细阵列群电极电解加工关键技术研究电化学腐蚀,阴极设计,有限元分析,盘状阵列群电极,加工定域性
抗镉内生细菌阿耶波多氏芽孢杆菌的分离鉴定及生物学 特性	抗镉内生细菌阿耶波多氏芽孢杆菌的分离鉴定及生物学特性阿耶波多氏芽孢杆菌,抗镉内生细菌,促生能力,土壤修复
分离式预制楼梯应用于装配式框架的抗	分离式预制楼梯应用于装配式框架的抗震性能分析装配式框架,分离式预制楼梯,住宅产业化,斜撑效应,抗震性能
项目建设的难点及风险	风险分级方法在建设项目职业病危害分类中的应用及实例分析
军事侦察生物技术	化学/生物战剂激光雷达探测技术化学/生物战剂,激光雷达,探测技术,侦察报警
移动互联网 发展	移动互联网关键技术与发展应用移动互联网,关键应用,发展趋向
基于增强现实技术与3D建模技术的创新型室内设计平台的构建研究	基于增强现实技术与3D建模技术的创新型室内设计平台的构建研究增强现实技术,3D建模技术,室内设计
左氧氟沙星 抗结核药物	抗结核药物联合左氧氟沙星治疗复治涂阳肺结核的效果分析抗结核药物,左氧氟沙星,复治涂阳肺结核,不良反应
大学生创业形势的研究	新形势下的大学生创业教育研究高等教育;大学生;创业教育;教育模式;教材开发
