query	title	neg_title
检测干眼	诊断干眼的非侵入性新检测技术及应用价值干眼;非侵入性;检测技术;诊断	自身免疫性干眼调节T细胞及细胞因子的表达干眼CD4+CD25+Treg细胞,Th17细胞,干燥综合征,细胞因子
中华文化认同  中华民族共同体意识	文化自信、文化认同与铸牢中华民族共同体意识文化自信,文化认同,社会主义核心价值观,中华民族共同体,爱国主义	"影响少数民族大学生""五个认同""的因素——铸牢中华民族共同体意识视角下的29所高校调查分析中华民族共同体意识,五个认同,少数民族大学生,影响因素"
医学影像技术	精准医学发展趋势:从定量成像到放射组学放射影像学,个体化医学,精准医学,定量成像,放射基因组学,放射组学	松果体区的薄层冠状断层解剖与MRI的对照研究松果体区,薄层断层解剖学,冷冻数控铣削技术,磁共振成像,人
电化学加工	电化学抛光技术新进展电化学,抛光,原理,进展	硫化铜、铅矿物浮选分离研究现状及发展趋势黄铜矿,方铅矿,浮选分离,浮选电化学,抑制剂,重铬酸盐,亚硫酸
基因进化树	梨树CDPK基因家族进化和表达分析梨树,CDPK基因,生物信息学,进化,干旱	枣树全基因组MITEs成分分析与系统进化研究MITEs,枣树基因组,系统进化,IMP分子标记技术
平台反垄断	互联网平台反垄断的本质与对策反垄断,互联网平台,数字治理,守门人,制度创新,媒体融合	数字平台反垄断的基本导向与体系创新数字经济;平台;反垄断;监管
城市趋同	中国沿海城市海洋经济密度时空变迁与趋同演化研究海洋经济密度,时空变迁,趋同演化,沿海城市	俱乐部趋同与中国区域经济发展——基于五大城市圈的实证研究城市圈,俱乐部趋同,投资结构,创新能力
下肢机器人	品管圈管理在脑卒中偏瘫患者下肢机器人康复训练中的应用品管圈,脑卒中,下肢机器人,康复	下肢机器人结合悬吊训练对痉挛型脑瘫儿童的疗效观察痉挛型脑性瘫痪,下肢机器人,悬吊治疗技术(SET),粗大运动功能,Berg平衡量表
乳化沥青稀浆封层	稀浆封层技术在高速公路路面下封层施工中的应用高速公路,路面下封层,稀浆封层	微表处技术在我国的研究应用与发展前景微表处,改性乳化沥青,稀浆封层,养护
软件可信	软件可信评估综述软件可信,可信属性,可信等级,可信证据,可信评估	基于结构分解的软件可信性变化传播模式研究软件可信性,构件可信性,可信性变化,传播模式,设计结构矩阵
平面广告中的字体	平面广告类型及其要素的表现浅析广告类型,图形,文字,色彩	微信公众号文章植入式广告推广特点及启示微信公众号,植入式广告,推广,平面广告,启示
标题：延迟满足	职业延迟满足研究述评职业延迟满足,即时满足,延迟满足	延迟满足情境中2岁儿童对行为的自我控制能力和延迟策略的使用延迟满足,2岁儿童,自我控制,延迟策略
昌黎皮影	我国表演类非物质文化遗产的传承与创新——以昌黎皮影戏为例非物质文化遗产,表演艺术,昌黎皮影戏,文化传播	昌黎民歌的唱腔特色研究昌黎民歌,润腔,声腔,衬腔,唱腔特色
医用钛表面改性	医用钛合金材料表面改性对骨整合影响的研究进展骨科生物材料;医用钛合金;表面改性;骨整合	去合金化制备纳米多孔金属材料研究进展纳米多孔金属;去合金化;电化学;表面改性
